"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","WT01","WT02","WT03","WT04","WT06","WT08"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2019-02-12","0.75","1.2","0.0",,"36","26","    1",,,,"    1",
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2019-02-13","0.08","0.0","1.2",,"41","33","    1",,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2019-02-14","0.00","0.0","0.0",,"46","33",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2019-02-15","0.00","0.0","0.0",,"59","42",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2019-02-16","0.00","0.0","0.0",,"47","32",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2019-02-17","0.04","0.0","0.0",,"38","26","    1",,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2019-02-18","0.09","0.0","0.0",,"42","26","    1",,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2019-02-19","0.00","0.0","0.0",,"36","23",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2019-02-20","0.57","1.3","0.0",,"33","26","    1","    1",,,"    1",
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2019-02-21","0.10","0.0","1.2",,"52","33","    1",,,,"    1",
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2019-02-22","0.00","0.0","0.0",,"44","36",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2019-02-23","0.01","0.0","0.0",,"42","32","    1",,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2019-02-24","0.58","0.0","0.0",,"47","36","    1",,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2019-02-25","0.00","0.0","0.0",,"43","28",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2019-02-26","0.00","0.0","0.0",,"36","25",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2019-02-27","0.00","0.0","0.0",,"31","23",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2019-02-28","0.03","0.1","0.0",,"37","27","    1",,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2019-03-01","0.11","1.4","1.2",,"35","26","    1","    1",,,,"    1"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2019-03-02","0.53","4.0","3.9",,"41","31","    1",,,,,"    1"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2019-03-03","0.52","3.0","1.2",,"42","33","    1","    1",,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2019-03-04","0.29","2.0","3.9",,"38","28","    1","    1",,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2019-03-05","0.00","0.0","2.0",,"32","20",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2019-03-06","0.00","0.0","1.2",,"26","19",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2019-03-07","0.00","0.0","1.2",,"32","18",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2019-03-08","0.00","0.0","0.0",,"39","24",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2019-03-09","0.00","0.0","0.0",,"49","34",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2019-03-10","0.54","0.0","0.0",,"43","35","    1",,,,,"    1"
